Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
561.67	6.0000	57.781	0.017307	640.71	744.55	2.5460	0.87610	1.1118	359.67	2.1745	27.232	0.039983	vapor
563.33	6.0000	57.586	0.017365	642.21	746.41	2.5493	0.87697	1.1123	360.25	2.1585	27.295	0.040111	vapor
565.00	6.0000	57.393	0.017424	643.72	748.26	2.5526	0.87784	1.1128	360.82	2.1427	27.357	0.040239	vapor
566.67	6.0000	57.201	0.017482	645.22	750.12	2.5558	0.87871	1.1133	361.40	2.1270	27.419	0.040367	vapor
568.33	6.0000	57.011	0.017540	646.73	751.97	2.5591	0.87957	1.1137	361.97	2.1115	27.481	0.040495	vapor
570.00	6.0000	56.822	0.017599	648.24	753.83	2.5624	0.88044	1.1142	362.54	2.0962	27.543	0.040623	vapor
571.67	6.0000	56.635	0.017657	649.74	755.69	2.5656	0.88130	1.1147	363.10	2.0810	27.605	0.040751	vapor
573.33	6.0000	56.448	0.017715	651.25	757.54	2.5689	0.88216	1.1152	363.67	2.0659	27.667	0.040879	vapor
575.00	6.0000	56.264	0.017773	652.76	759.40	2.5721	0.88302	1.1157	364.23	2.0510	27.728	0.041007	vapor
576.67	6.0000	56.080	0.017832	654.27	761.26	2.5753	0.88388	1.1162	364.80	2.0362	27.790	0.041135	vapor
578.33	6.0000	55.898	0.017890	655.79	763.12	2.5786	0.88474	1.1167	365.36	2.0215	27.852	0.041263	vapor
580.00	6.0000	55.717	0.017948	657.30	764.98	2.5818	0.88560	1.1172	365.92	2.0070	27.913	0.041391	vapor
581.67	6.0000	55.538	0.018006	658.81	766.85	2.5850	0.88645	1.1177	366.48	1.9926	27.975	0.041519	vapor
583.33	6.0000	55.360	0.018064	660.33	768.71	2.5882	0.88731	1.1182	367.04	1.9784	28.036	0.041647	vapor
585.00	6.0000	55.183	0.018122	661.85	770.57	2.5914	0.88816	1.1187	367.59	1.9643	28.097	0.041775	vapor
